# Sourced from: https://github.com/patrickmccallum/mimetype-io/pull/68
#
# Changes:
# - Removed: `gcode`
# - Removed file extensions crossovers from: `image/heic`, `image/heic-sequence`, `image/heif`, `image/heif-sequence`
# - This file is sorted alphabetically, except that all `application` types have been moved to the bottom of this file
#   and certain MIME types that share a file extension with another MIME type have been moved to the top of this file to
#   act as a higher preference when mapping a file extension to its MIME type.

application/xml	xml xpdl xsl
image/x-pentax-pef	pef ptx
image/x-pict	pct pic
image/x-portable-anymap	pnm
image/x-portable-bitmap	pbm
image/x-portable-graymap	pgm
image/x-portable-pixmap	ppm
image/x-rgb	rgb
image/x-sigma-x3f	x3f
image/x-sony-arw	arw
image/x-sony-sr2	sr2
image/x-sony-srf	srf
image/x-tga	tga
image/x-xbitmap	xbm
image/x-xpixmap	xpm
image/x-xwindowdump	xwd
message/disposition-notification	disposition-notification
message/global	u8msg
message/global-delivery-status	u8dsn
message/global-disposition-notification	u8mdn
message/global-headers	u8hdr
message/imdn+xml	cl xml
message/rfc822	eml mht mhtml mime nws
message/vnd.wfa.wsc	wsc
model/3mf	3mf
model/JT	jt
model/gltf+json	gltf
model/gltf-binary	glb
model/iges	iges igs
model/mesh	mesh msh silo
model/mtl	mtl
model/obj	obj
model/prc	prc
model/step	210 p21 step stp stpnc
model/step+xml	stpx
model/step+zip	stpz
model/step-xml+zip	stpxz
model/stl	stl
model/u3d	u3d
model/vnd.bary	bary
model/vnd.cld	cld
model/vnd.collada+xml	dae
model/vnd.dwf	dwf
model/vnd.flatland.3dml	3dml
model/vnd.gdl	gdl
model/vnd.gs-gdl	dor gdl gsm ism lmp msm rsm win
model/vnd.gtw	gtw
model/vnd.moml+xml	xml
model/vnd.mts	mts
model/vnd.opengex	ogex
model/vnd.parasolid.transmit.binary	x_b xmt_bin
model/vnd.parasolid.transmit.text	x_t xmt_txt
model/vnd.pytha.pyox	pyo pyox
model/vnd.sap.vds	vds
model/vnd.usda	usda
model/vnd.usdz+zip	usdz
model/vnd.valve.source.compiled-map	bsp
model/vnd.vtu	vtu
model/vrml	vrml wrl
model/x3d+binary	x3db x3dbz
model/x3d+fastinfoset	x3db
model/x3d+vrml	x3dv x3dvz
model/x3d+xml	x3d x3dz
multipart/vnd.bint.med-plus	bmed
multipart/voice-message	vpm
test/mimetype	test
text/cache-manifest	appcache
text/calendar	ics ifb
text/cql	cql
text/css	css
text/csv	csv
text/csv-schema	csvs
text/dns	soa zone
text/gff3	gff3
text/jcr-cnd	cnd
text/markdown	markdn markdown md mdown
text/mathml	mathml mml
text/mizar	miz
text/n3	n3
text/provenance-notation	provn
text/prs.fallenstein.rst	rst txt
text/prs.lines.tag	dsc
text/prs.prop.logic	txt
text/prs.texi	texi
text/richtext	rtx
text/sgml	sgm sgml
text/shaclc	shaclc shc
text/shex	shex
text/spdx	spdx
text/tab-separated-values	tsv
text/troff	man me ms roff t tr
text/turtle	ttl
text/uri-list	uri uris urls
text/vcard	vcard
text/vnd.DMClientScript	dms
text/vnd.IPTC.NITF	xml
text/vnd.IPTC.NewsML	xml
text/vnd.a	a
text/vnd.abc	abc
text/vnd.ascii-art	ascii
text/vnd.curl	curl
text/vnd.curl.dcurl	dcurl
text/vnd.curl.mcurl	mcurl
text/vnd.curl.scurl	scurl
text/vnd.dvb.subtitle	sub
text/vnd.esmertec.theme-descriptor	jtd
text/vnd.exchangeable	vfk
text/vnd.familysearch.gedcom	ged
text/vnd.ficlab.flt	flt
text/vnd.fly	fly
text/vnd.fmi.flexstor	flx
text/vnd.gml	gml
text/vnd.graphviz	gv
text/vnd.hans	hans
text/vnd.hgl	hgl
text/vnd.in3d.3dml	3dml
text/vnd.in3d.spot	spot
text/vnd.ms-mediapackage	mpf
text/vnd.net2phone.commcenter.command	ccc
text/vnd.senx.warpscript	mc2
text/vnd.sosi	sos
text/vnd.sun.j2me.app-descriptor	jad
text/vnd.trolltech.linguist	ts
text/vnd.typst	typ
text/vnd.vcf	vcf
text/vnd.wap.si	si
text/vnd.wap.sl	sl
text/vnd.wap.wml	wml
text/vnd.wap.wmlscript	wmls
text/vnd.zoo.kcl	kcl
text/vtt	vtt
text/wgsl	wgsl
text/x-asm	asm s
text/x-c	c cc cpp cxx dic h hh
text/x-fortran	f f77 f90 for
text/x-java-source	java
text/x-nfo	nfo
text/x-opml	opml
text/x-pascal	inc p pas pp
text/x-python	py pyc pyd pyo whl
text/x-setext	etx
text/x-sfv	sfv
text/x-uuencode	uu
text/x-vcalendar	vcs
text/x-vcard	vcf
text/xml	xml
text/xml-external-parsed-entity	ent xml
video/3gpp	3gp
video/3gpp2	3g2
video/h261	h261
video/h263	h263
video/h264	h264
video/iso.segment	m4s
video/jpeg	jpgv
video/jpm	jpgm jpm
video/lottie+json	lot
video/matroska	mkv
video/matroska-3d	mk3d
video/mj2	mj2 mjp2
video/mp2t	ts
video/mpeg	m1v m2v mpa mpe mpeg mpg
video/ogg	ogv
video/quicktime	mov qt
video/vnd.blockfact.factv	factv
video/vnd.dece.hd	uvh uvvh
video/vnd.dece.mobile	uvm uvvm
video/vnd.dece.mp4	uvu uvvu
video/vnd.dece.pd	uvp uvvp
video/vnd.dece.sd	uvs uvvs
video/vnd.dece.video	uvv uvvv
video/vnd.dvb.file	dvb
video/vnd.fvt	fvt
video/vnd.hns.video	rm
video/vnd.mpegurl	m4u mxu
video/vnd.ms-playready.media.pyv	pyv
video/vnd.nokia.interleaved-multimedia	nim
video/vnd.nokia.mp4vr	mp4
video/vnd.objectvideo	mp4
video/vnd.planar	yuv
video/vnd.radgamettools.bink	bik bk2
video/vnd.radgamettools.smacker	smk
video/vnd.sealed.mpeg1	s11 smpg
video/vnd.sealed.mpeg4	s14 smpg
video/vnd.sealed.swf	ssw sswf
video/vnd.sealedmedia.softseal.mov	s1q smo smov
video/vnd.uvvu.mp4	uvu uvvu
video/vnd.vivo	viv
video/vnd.youtube.yt	yt
video/webm	webm
video/x-f4v	f4v
video/x-fli	fli
video/x-flv	flv
video/x-m4v	m4v
video/x-matroska	mkv
video/x-mng	mng
video/x-ms-asf	asf asx
video/x-ms-vob	vob
video/x-ms-wm	wm
video/x-ms-wmv	wmv
video/x-ms-wmx	wmx
video/x-ms-wvx	wvx
video/x-msvideo	avi
video/x-sgi-movie	movie
video/x-smv	smv
x-conference/x-cooltalk	ice

application/A2L	a2l
application/AML	aml
application/ATF	atf
application/ATFX	atfx
application/ATXML	atxml
application/CDFX+XML	cdfx
application/CEA	cea
application/DCD	dcd
application/DII	dii
application/DIT	dit
application/EmergencyCallData.Comment+xml	xml
application/EmergencyCallData.Control+xml	xml
application/EmergencyCallData.DeviceInfo+xml	xml
application/EmergencyCallData.LegacyESN+json	json
application/EmergencyCallData.ProviderInfo+xml	xml
application/EmergencyCallData.ServiceInfo+xml	xml
application/EmergencyCallData.SubscriberInfo+xml	xml
application/EmergencyCallData.VEDS+xml	xml
application/LXF	lxf
application/MF4	mf4
application/ODX	odx
application/PDX	pdx
application/andrew-inset	ez
application/applixware	aw
application/atom+xml	atom
application/atomcat+xml	atomcat
application/atomdeleted+xml	atomdeleted
application/atomsvc+xml	atomsvc
application/atsc-dwd+xml	dwd
application/atsc-held+xml	held
application/atsc-rsat+xml	rsat
application/auth-policy+xml	apxml
application/automationml-aml+xml	aml
application/automationml-amlx+zip	amlx
application/bacnet-xdd+zip	xdd
application/c2pa	c2pa
application/calendar+xml	xcs
application/cbor	cbor
application/cccex	c3ex
application/ccmp+xml	ccmp
application/ccxml+xml	ccxml
application/cdmi-capability	cdmia
application/cdmi-container	cdmic
application/cdmi-domain	cdmid
application/cdmi-object	cdmio
application/cdmi-queue	cdmiq
application/cea-2018+xml	xml
application/cellml+xml	cellml
application/city+json	json
application/clr	1clr
application/clue+xml	xml
application/clue_info+xml	clue
application/cms	cmsc
application/coap-group+json	json
application/conference-info+xml	xml
application/cose	cbor
application/cose-key	cbor
application/cose-key-set	cbor
application/cpl+xml	cpl xml
application/csrattrs	csrattrs
application/csvm+json	json
application/cu-seeme	cu
application/cwl	cwl
application/cwl+json	cwl.json
application/cwl+yaml	cwl.yaml
application/dash+xml	mpd
application/dash-patch+xml	mpp
application/dashdelta	mpdd
application/davmount+xml	davmount
application/dialog-info+xml	xml
application/dicom	dcm
application/dicom+json	json
application/dicom+xml	xml
application/did	did
application/dns+json	rfc
application/docbook+xml	dbk
application/dskpp+xml	xmls
application/dssc+der	dssc
application/dssc+xml	xdssc
application/dvcs	dvc
application/ecmascript	ecma
application/efi	efi
application/emma+xml	emma
application/emotionml+xml	emotionml
application/epp+xml	xml
application/epub+zip	epub
application/exi	exi
application/express	exp
application/fastinfoset	finf
application/fdf	fdf
application/fdt+xml	fdt
application/fits	fits
application/font-tdpfr	pfr
application/geo+json	geojson json
application/geopackage+sqlite3	gpkg
application/gltf-buffer	bin glbin glbuf
application/gml+xml	gml
application/gpx+xml	gpx
application/gxf	gxf
application/gzip	gz tgz
application/held+xml	heldxml
application/hyperstudio	stk
application/inkml+xml	ink inkml
application/ipfix	ipfix
application/its+xml	its
application/java-archive	jar
application/java-serialized-object	ser
application/java-vm	class
application/jf2feed+json	json
application/jrd+json	jrd
application/json-patch+json	json-patch
application/jsonml+json	jsonml
application/ld+json	jsonld
application/lgr+xml	lgr
application/link-format	wlnk
application/linkset+json	json
application/load-control+xml	xml
application/lost+xml	lostxml
application/lostsync+xml	lostsyncxml
application/lpf+zip	lpf
application/mac-binhex40	hqx
application/mac-compactpro	cpt
application/mads+xml	mads
application/manifest+json	webmanifest
application/marc	mrc
application/marcxml+xml	mrcx
application/mathematica	ma mb nb
application/mbox	mbox
application/media-policy-dataset+xml	mpf xml
application/mediaservercontrol+xml	mscml
application/metalink+xml	metalink
application/metalink4+xml	meta4
application/mets+xml	mets
application/mipc	h5
application/mmt-aei+xml	maei
application/mmt-usd+xml	musd
application/mods+xml	mods
application/mp21	m21 mp21
application/mp4	mp4s
application/mpeg4-iod-xmt	mp4 mpg4
application/mrb-consumer+xml	xdf
application/mrb-publish+xml	xdf
application/msword	doc dot wiz
application/mxf	mxf
application/n-quads	nq
application/n-triples	nt
application/node	cjs js
application/ocsp-request	orq
application/ocsp-response	ors
application/oda	oda
application/odm+xml	xml
application/oebps-package+xml	opf
application/ogg	ogx
application/omdoc+xml	omdoc
application/onenote	onepkg onetmp onetoc onetoc2
application/oxps	oxps
application/p21	210 ifc p21 step stp stpnc
application/p21+zip	stpz
application/p2p-overlay+xml	relo
application/patch-ops-error+xml	xer
application/pdf	pdf
application/pem-certificate-chain	pem
application/pgp-encrypted	pgp
application/pgp-keys	asc
application/pgp-signature	asc sig
application/pics-rules	prf
application/pidf-diff+xml	xml
application/pkcs10	p10
application/pkcs12	p12 pfx
application/pkcs7-mime	p7c p7m
application/pkcs7-signature	p7s
application/pkcs8	p8
application/pkcs8-encrypted	p8e
application/pkix-attr-cert	ac
application/pkix-cert	cer
application/pkix-crl	crl
application/pkix-pkipath	pkipath
application/pkixcmp	pki
application/pls+xml	pls
application/postscript	ai eps ps
application/provenance+xml	provx
application/prql	prql
application/prs.cww	cww
application/prs.hpub+zip	hpub
application/prs.mayfile	mayf
application/prs.nprend	rct rnd
application/prs.rdf-xml-crypt	rdf-crypt
application/prs.vcfbzip2	vcf.bz2 vcfbz2 vcfbzip2
application/prs.xsf+xml	xml xsf
application/pskc+xml	pskcxml
application/rdf+xml	rdf
application/reginfo+xml	rif
application/relax-ng-compact-syntax	rnc
application/resource-lists+xml	rl
application/resource-lists-diff+xml	rld
application/rfc+xml	rfcxml xml
application/rls-services+xml	rs
application/route-apd+xml	rapd
application/route-s-tsid+xml	sls
application/route-usd+xml	rusd
