# Sourced from: https://github.com/patrickmccallum/mimetype-io/pull/68
#
# Changes:
# - Removed: `gcode`
# - Removed file extensions crossovers from: `image/heic`, `image/heic-sequence`, `image/heif`, `image/heif-sequence`
# - This file is sorted alphabetically, except that all `application` types have been moved to the bottom of this file
#   and certain MIME types that share a file extension with another MIME type have been moved to the top of this file to
#   act as a higher preference when mapping a file extension to its MIME type.

application/xml	xml xpdl xsl
application/vnd.eu.kasparian.car+json	carjson
application/vnd.evolv.ecig.profile	ecigprofile
application/vnd.evolv.ecig.settings	ecig
application/vnd.evolv.ecig.theme	ecigtheme
application/vnd.exstream-empower+zip	mpw
application/vnd.exstream-package	pkg pub
application/vnd.ezpix-album	ez2
application/vnd.ezpix-package	ez3
application/vnd.familysearch.gedcom+zip	gdz
application/vnd.fastcopy-disk-image	dim
application/vnd.fdf	fdf
application/vnd.fdsn.mseed	mseed
application/vnd.fdsn.seed	dataless seed
application/vnd.fdsn.stationxml+xml	xml
application/vnd.fgb	fgb
application/vnd.ficlab.flb+zip	flb
application/vnd.filmit.zfc	zfc
application/vnd.fints	bpd hbc hbci kom pkd upa
application/vnd.flographit	gph
application/vnd.fluxtime.clip	ftc
application/vnd.font-fontforge-sfd	sfd
application/vnd.framemaker	book fm frame maker
application/vnd.frogans.fnc	fnc
application/vnd.frogans.ltf	ltf
application/vnd.fsc.weblaunch	fsc
application/vnd.fujifilm.fb.docuworks	xdw
application/vnd.fujifilm.fb.docuworks.binder	xbd
application/vnd.fujifilm.fb.docuworks.container	xct
application/vnd.fujifilm.fb.jfi+xml	xml
application/vnd.fujitsu.oasys	oas
application/vnd.fujitsu.oasys2	oa2
application/vnd.fujitsu.oasys3	oa3
application/vnd.fujitsu.oasysgp	fg5
application/vnd.fujitsu.oasysprs	bh2
application/vnd.fujixerox.ddd	ddd
application/vnd.fujixerox.docuworks	xdw
application/vnd.fujixerox.docuworks.binder	xbd
application/vnd.fujixerox.docuworks.container	xct
application/vnd.fuzzysheet	fzs
application/vnd.g3pix.g3fc	g3fc g3fc0 g3fc1 g3fc2 g3fc3 g3fc4 g3fc5 g3fc6 g3fc7 g3fc8 g3fc9
application/vnd.genomatix.tuxedo	txd
application/vnd.genozip	genozip
application/vnd.gentics.grd+json	grd
application/vnd.gentoo.catmetadata+xml	xml
application/vnd.gentoo.ebuild	ebuild
application/vnd.gentoo.eclass	eclass
application/vnd.gentoo.gpkg	gpkg.tar
application/vnd.gentoo.pkgmetadata+xml	xml
application/vnd.gentoo.xpak	tbz2 xpak
application/vnd.geogebra.file	ggb
application/vnd.geogebra.pinboard	ggp
application/vnd.geogebra.slides	ggs
application/vnd.geogebra.tool	ggt
application/vnd.geometry-explorer	gex gre
application/vnd.geonext	gxt
application/vnd.geoplan	g2w
application/vnd.geospace	g3w
application/vnd.gerber	gbr
application/vnd.gmx	gmx
application/vnd.google-earth.kml+xml	kml
application/vnd.google-earth.kmz	kmz
application/vnd.gov.sk.e-form+zip	zip
application/vnd.gov.sk.xmldatacontainer+xml	xdcf
application/vnd.gpxsee.map+xml	xml
application/vnd.grafeq	gqf gqs
application/vnd.groove-account	gac
application/vnd.groove-help	ghf
application/vnd.groove-identity-message	gim
application/vnd.groove-injector	grv
application/vnd.groove-tool-message	gtm
application/vnd.groove-tool-template	tpl
application/vnd.groove-vcard	vcg
application/vnd.hal+json	json
application/vnd.hal+xml	hal
application/vnd.handheld-entertainment+xml	zmm
application/vnd.hbci	hbci
application/vnd.hc+json	json
application/vnd.hcl-bireports	rep
application/vnd.hdt	hdt
application/vnd.heroku+json	json
application/vnd.hhe.lesson-player	les
application/vnd.hp-hpgl	hpgl
application/vnd.hp-hpid	hpid
application/vnd.hp-hps	hps
application/vnd.hp-jlyt	jlt
application/vnd.hp-pcl	pcl
application/vnd.hp-pclxl	pclxl
application/vnd.hsl	hsl
application/vnd.httphone	do
application/vnd.hydrostatix.sof-data	sfd-hdstx
application/vnd.hyper+json	json
application/vnd.hyper-item+json	json
application/vnd.hyperdrive+json	json
application/vnd.hzn-3d-crossword	x3d
application/vnd.ibm.electronic-media	emm
application/vnd.ibm.minipay	mpy
application/vnd.ibm.modcap	afp list3820 listafp
application/vnd.ibm.rights-management	irm
application/vnd.ibm.secure-container	sc
application/vnd.iccprofile	icc icm
application/vnd.ieee.1905	1905.1
application/vnd.igloader	igl
application/vnd.imagemeter.folder+zip	imf
application/vnd.imagemeter.image+zip	imi
application/vnd.immervision-ivp	ivp
application/vnd.immervision-ivu	ivu
application/vnd.ims.imsccv1p1	imscc
application/vnd.ims.imsccv1p2	imscc
application/vnd.ims.imsccv1p3	imscc
application/vnd.ims.lis.v2.result+json	json jsonld
application/vnd.ims.lti.v2.toolconsumerprofile+json	json jsonld
application/vnd.ims.lti.v2.toolproxy+json	json jsonld
application/vnd.ims.lti.v2.toolproxy.id+json	json jsonld
application/vnd.ims.lti.v2.toolsettings+json	json jsonld
application/vnd.ims.lti.v2.toolsettings.simple+json	json jsonld
application/vnd.informedcontrol.rms+xml	xml
application/vnd.infotech.project	json
application/vnd.infotech.project+xml	xml
application/vnd.insors.igm	igm
application/vnd.intercon.formnet	xpw xpx
application/vnd.intergeo	i2g
application/vnd.intu.qbo	qbo
application/vnd.intu.qfx	qfx
application/vnd.ipfs.ipns-record	ipns-record
application/vnd.ipld.car	car
application/vnd.ipld.dag-cbor	cbor
application/vnd.ipld.dag-json	json
application/vnd.iptc.g2.catalogitem+xml	xml
application/vnd.iptc.g2.conceptitem+xml	xml
application/vnd.iptc.g2.knowledgeitem+xml	xml
application/vnd.iptc.g2.newsitem+xml	xml
application/vnd.iptc.g2.newsmessage+xml	xml
application/vnd.iptc.g2.packageitem+xml	xml
application/vnd.iptc.g2.planningitem+xml	xml
application/vnd.ipunplugged.rcprofile	rcprofile
application/vnd.irepository.package+xml	irp
application/vnd.is-xpr	xpr
application/vnd.isac.fcs	fcs
application/vnd.iso11783-10+zip	zip
application/vnd.jam	jam
application/vnd.jcp.javame.midlet-rms	rms
application/vnd.jisp	jisp
application/vnd.joost.joda-archive	joda
application/vnd.kahootz	ktr ktz
application/vnd.kde.karbon	karbon
application/vnd.kde.kchart	chrt
application/vnd.kde.kformula	kfo
application/vnd.kde.kivio	flw
application/vnd.kde.kontour	kon
application/vnd.kde.kpresenter	kpr kpt
application/vnd.kde.kspread	ksp
application/vnd.kde.kword	kwd kwt
application/vnd.kdl	kdl
application/vnd.kenameaapp	htke
application/vnd.keyman.kmp+zip	kmp
application/vnd.keyman.kmx	kmx
application/vnd.kidspiration	kia
application/vnd.kinar	kne knp
application/vnd.koan	skd skm skp skt
application/vnd.kodak-descriptor	sse
application/vnd.las	las
application/vnd.las.las+json	lasjson
application/vnd.las.las+xml	lasxml
application/vnd.laszip	laz
application/vnd.leap+json	json
application/vnd.llamagraphics.life-balance.desktop	lbd
application/vnd.llamagraphics.life-balance.exchange+xml	lbe
application/vnd.logipipe.circuit+zip	lca lcs
application/vnd.loom	loom
application/vnd.lotus-1-2-3	123
application/vnd.lotus-approach	apr
application/vnd.lotus-freelance	pre
application/vnd.lotus-notes	nsf
application/vnd.lotus-organizer	org
application/vnd.lotus-screencam	scm
application/vnd.lotus-wordpro	lwp
application/vnd.macports.portpkg	portpkg
application/vnd.mapbox-vector-tile	mvt
application/vnd.marlin.drm.mdcf	mdc
application/vnd.mason+json	json
application/vnd.maxar.archive.3tz+zip	3tz
application/vnd.maxmind.maxmind-db	mmdb
application/vnd.mcd	mcd
application/vnd.mdl	mdl
application/vnd.mdl-mbsdf	mbsdf
application/vnd.medcalcdata	mc1
application/vnd.mediastation.cdkey	cdkey
application/vnd.medicalholodeck.recordxr	rxr
application/vnd.mermaid	mermaid mmd
application/vnd.mfer	mwf
application/vnd.mfmp	mfm
application/vnd.micro+json	json
application/vnd.micrografx.flo	flo
application/vnd.micrografx.igx	igx
application/vnd.microsoft.portable-executable	dll exe
application/vnd.miele+json	json
application/vnd.mif	mif
application/vnd.mobius.daf	daf
application/vnd.mobius.dis	dis
application/vnd.mobius.mbk	mbk
application/vnd.mobius.mqy	mqy
application/vnd.mobius.msl	msl
application/vnd.mobius.plc	plc
application/vnd.mobius.txf	txf
application/vnd.modl	modl
application/vnd.mophun.application	mpn
application/vnd.mophun.certificate	mpc
application/vnd.mozilla.xul+xml	xul
application/vnd.ms-3mfdocument	3mf
application/vnd.ms-artgalry	cil
application/vnd.ms-asf	asf
application/vnd.ms-cab-compressed	cab
application/vnd.ms-excel	xla xlb xlc xlm xls xlt xlw
application/vnd.ms-excel.addin.macroenabled.12	xlam
application/vnd.ms-excel.sheet.binary.macroenabled.12	xlsb
application/vnd.ms-excel.sheet.macroenabled.12	xlsm
application/vnd.ms-excel.template.macroenabled.12	xltm
application/vnd.ms-fontobject	eot
application/vnd.ms-htmlhelp	chm
application/vnd.ms-ims	ims
application/vnd.ms-lrm	lrm
application/vnd.ms-officetheme	thmx
application/vnd.ms-pki.seccat	cat
application/vnd.ms-pki.stl	stl
application/vnd.ms-powerpoint	pot ppa pps ppt pwz
application/vnd.ms-powerpoint.addin.macroenabled.12	ppam
application/vnd.ms-powerpoint.presentation.macroenabled.12	pptm
application/vnd.ms-powerpoint.slide.macroenabled.12	sldm
application/vnd.ms-powerpoint.slideshow.macroenabled.12	ppsm
application/vnd.ms-powerpoint.template.macroenabled.12	potm
application/vnd.ms-project	mpp mpt
application/vnd.ms-word.document.macroenabled.12	docm
application/vnd.ms-word.template.macroenabled.12	dotm
application/vnd.ms-works	wcm wdb wks wps
application/vnd.ms-wpl	wpl
application/vnd.ms-xpsdocument	xps
application/vnd.msa-disk-image	msa
application/vnd.mseq	mseq
application/vnd.multiad.creator	crtr
application/vnd.multiad.creator.cif	cif
application/vnd.musician	mus
application/vnd.muvee.style	msty
application/vnd.mynfc	taglet
application/vnd.nacamar.ybrid+json	json
application/vnd.nato.bindingdataobject+cbor	bdob
application/vnd.nato.bindingdataobject+json	bdoj
application/vnd.nato.bindingdataobject+xml	bdo
application/vnd.nato.openxmlformats-package.iepd+zip	iepd
application/vnd.nearst.inv+json	json
application/vnd.nebumind.line	line nebul
application/vnd.nervana	bkm ent entity kcm req request
application/vnd.netfpx	often
application/vnd.neurolanguage.nlu	nlu
application/vnd.nimn	nimn
application/vnd.nintendo.nitro.rom	nds
application/vnd.nintendo.snes.rom	sfc smc
application/vnd.nitf	nitf ntf
application/vnd.noblenet-directory	nnd
application/vnd.noblenet-sealer	nns
application/vnd.noblenet-web	nnw
application/vnd.nokia.n-gage.ac+xml	ac
application/vnd.nokia.n-gage.data	ngdat
application/vnd.nokia.n-gage.symbian.install	n-gage
application/vnd.nokia.radio-preset	rpst
application/vnd.nokia.radio-presets	rpss
application/vnd.novadigm.edm	edm
application/vnd.novadigm.edx	edx
application/vnd.novadigm.ext	ext
application/vnd.oai.workflows	json yaml
application/vnd.oai.workflows+json	json
application/vnd.oai.workflows+yaml	yaml yml
application/vnd.oasis.opendocument.base	odb
application/vnd.oasis.opendocument.chart	odc
application/vnd.oasis.opendocument.chart-template	otc
application/vnd.oasis.opendocument.database	odb
application/vnd.oasis.opendocument.formula	odf
application/vnd.oasis.opendocument.formula-template	odft
application/vnd.oasis.opendocument.graphics	odg
application/vnd.oasis.opendocument.graphics-template	otg
application/vnd.oasis.opendocument.image	odi
application/vnd.oasis.opendocument.image-template	oti
application/vnd.oasis.opendocument.presentation	odp
application/vnd.oasis.opendocument.presentation-template	otp
application/vnd.oasis.opendocument.spreadsheet	ods
application/vnd.oasis.opendocument.spreadsheet-template	ots
application/vnd.oasis.opendocument.text	odt
application/vnd.oasis.opendocument.text-master	otm
application/vnd.oasis.opendocument.text-master-template	otm
application/vnd.oasis.opendocument.text-template	ott
application/vnd.oasis.opendocument.text-web	oth
application/vnd.oftn.l10n+json	json
application/vnd.olpc-sugar	xo
application/vnd.oma.dd2+xml	dd2
application/vnd.onepager	tam
application/vnd.onepagertamp	tamp
application/vnd.onepagertamx	tamx
application/vnd.onepagertat	tat
application/vnd.onepagertatp	tatp
application/vnd.onepagertatx	tatx
application/vnd.openblox.game+xml	obgx
application/vnd.openblox.game-binary	obg
application/vnd.openeye.oeb	oeb
application/vnd.openofficeorg.extension	oxt
application/vnd.openstreetmap.data+xml	osm
application/vnd.opentimestamps.ots	ots
application/vnd.openvpi.dspx+json	dspx
application/vnd.openxmlformats-officedocument.custom-properties+xml	xml
application/vnd.openxmlformats-officedocument.customXmlProperties+xml	xml
application/vnd.openxmlformats-officedocument.drawing+xml	xml
application/vnd.openxmlformats-officedocument.drawingml.chart+xml	xml
application/vnd.openxmlformats-officedocument.drawingml.chartshapes+xml	xml
application/vnd.openxmlformats-officedocument.drawingml.diagramColors+xml	xml
application/vnd.openxmlformats-officedocument.drawingml.diagramData+xml	xml
application/vnd.openxmlformats-officedocument.drawingml.diagramLayout+xml	xml
application/vnd.openxmlformats-officedocument.drawingml.diagramStyle+xml	xml
application/vnd.openxmlformats-officedocument.extended-properties+xml	xml
application/vnd.openxmlformats-officedocument.presentationml.commentAuthors+xml	xml
application/vnd.openxmlformats-officedocument.presentationml.comments+xml	xml
application/vnd.openxmlformats-officedocument.presentationml.handoutMaster+xml	xml
application/vnd.openxmlformats-officedocument.presentationml.notesMaster+xml	xml
application/vnd.openxmlformats-officedocument.presentationml.notesSlide+xml	xml
application/vnd.openxmlformats-officedocument.presentationml.presProps+xml	xml
application/vnd.openxmlformats-officedocument.presentationml.presentation	pptx
application/vnd.openxmlformats-officedocument.presentationml.presentation.main+xml	xml
application/vnd.openxmlformats-officedocument.presentationml.slide	sldx
application/vnd.openxmlformats-officedocument.presentationml.slide+xml	xml
application/vnd.openxmlformats-officedocument.presentationml.slideLayout+xml	xml
application/vnd.openxmlformats-officedocument.presentationml.slideMaster+xml	xml
application/vnd.openxmlformats-officedocument.presentationml.slideUpdateInfo+xml	xml
application/vnd.openxmlformats-officedocument.presentationml.slideshow	ppsx
application/vnd.openxmlformats-officedocument.presentationml.slideshow.main+xml	xml
application/vnd.openxmlformats-officedocument.presentationml.tableStyles+xml	xml
application/vnd.openxmlformats-officedocument.presentationml.tags+xml	xml
application/vnd.openxmlformats-officedocument.presentationml.template	potx
application/vnd.openxmlformats-officedocument.presentationml.template.main+xml	xml
application/vnd.openxmlformats-officedocument.presentationml.viewProps+xml	xml
application/vnd.openxmlformats-officedocument.spreadsheetml.calcChain+xml	xml
application/vnd.openxmlformats-officedocument.spreadsheetml.chartsheet+xml	xml
application/vnd.openxmlformats-officedocument.spreadsheetml.comments+xml	xml
application/vnd.openxmlformats-officedocument.spreadsheetml.connections+xml	xml
application/vnd.openxmlformats-officedocument.spreadsheetml.dialogsheet+xml	xml
application/vnd.openxmlformats-officedocument.spreadsheetml.externalLink+xml	xml
application/vnd.openxmlformats-officedocument.spreadsheetml.pivotCacheDefinition+xml	xml
application/vnd.openxmlformats-officedocument.spreadsheetml.pivotCacheRecords+xml	xml
application/vnd.openxmlformats-officedocument.spreadsheetml.pivotTable+xml	xml
application/vnd.openxmlformats-officedocument.spreadsheetml.queryTable+xml	xml
application/vnd.openxmlformats-officedocument.spreadsheetml.revisionHeaders+xml	xml
application/vnd.openxmlformats-officedocument.spreadsheetml.revisionLog+xml	xml
application/vnd.openxmlformats-officedocument.spreadsheetml.sharedStrings+xml	xml
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	xlsx
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet.main+xml	xml
application/vnd.openxmlformats-officedocument.spreadsheetml.sheetMetadata+xml	xml
application/vnd.openxmlformats-officedocument.spreadsheetml.styles+xml	xml
application/vnd.openxmlformats-officedocument.spreadsheetml.table+xml	xml
application/vnd.openxmlformats-officedocument.spreadsheetml.tableSingleCells+xml	xml
application/vnd.openxmlformats-officedocument.spreadsheetml.template	xltx
application/vnd.openxmlformats-officedocument.spreadsheetml.template.main+xml	xml
application/vnd.openxmlformats-officedocument.spreadsheetml.userNames+xml	xml
application/vnd.openxmlformats-officedocument.spreadsheetml.volatileDependencies+xml	xml
application/vnd.openxmlformats-officedocument.spreadsheetml.worksheet+xml	xml
application/vnd.openxmlformats-officedocument.theme+xml	xml
application/vnd.openxmlformats-officedocument.themeOverride+xml	xml
application/vnd.openxmlformats-officedocument.wordprocessingml.comments+xml	xml
application/vnd.openxmlformats-officedocument.wordprocessingml.document	docx
application/vnd.openxmlformats-officedocument.wordprocessingml.document.glossary+xml	xml
application/vnd.openxmlformats-officedocument.wordprocessingml.document.main+xml	xml
application/vnd.openxmlformats-officedocument.wordprocessingml.endnotes+xml	xml
application/vnd.openxmlformats-officedocument.wordprocessingml.fontTable+xml	xml
application/vnd.openxmlformats-officedocument.wordprocessingml.footer+xml	xml
application/vnd.openxmlformats-officedocument.wordprocessingml.footnotes+xml	xml
application/vnd.openxmlformats-officedocument.wordprocessingml.numbering+xml	xml
application/vnd.openxmlformats-officedocument.wordprocessingml.settings+xml	xml
application/vnd.openxmlformats-officedocument.wordprocessingml.styles+xml	xml
application/vnd.openxmlformats-officedocument.wordprocessingml.template	dotx
application/vnd.openxmlformats-officedocument.wordprocessingml.template.main+xml	xml
application/vnd.openxmlformats-officedocument.wordprocessingml.webSettings+xml	xml
application/vnd.openxmlformats-package.core-properties+xml	xml
application/vnd.openxmlformats-package.digital-signature-xmlsignature+xml	xml
application/vnd.openxmlformats-package.relationships+xml	xml
application/vnd.oracle.resource+json	json
application/vnd.osa.netdeploy	ndc
application/vnd.osgeo.mapguide.package	mgp
application/vnd.osgi.bundle	jar
application/vnd.osgi.dp	dp
application/vnd.osgi.subsystem	esa
application/vnd.oxli.countgraph	oxlicg
application/vnd.palm	oprc pdb pqa
application/vnd.panoply	plp
application/vnd.patentdive	dive
application/vnd.pawaafile	paw
application/vnd.pg.format	str
application/vnd.pg.osasli	ei6
application/vnd.piaccess.application-licence	pil
application/vnd.picsel	efif
application/vnd.pmi.widget	wg
application/vnd.pmtiles	pmtiles
application/vnd.pocketlearn	plf
application/vnd.powerbuilder6	pbd
application/vnd.powerbuilder6-s	pbd
application/vnd.powerbuilder7	pbd
application/vnd.powerbuilder7-s	pbd
application/vnd.powerbuilder75	pbd
application/vnd.powerbuilder75-s	pbd
application/vnd.pp.systemverify+xml	systemverify
application/vnd.preminet	preminet
application/vnd.previewsystems.box	box
application/vnd.proteus.magazine	mgz
application/vnd.psfs	psfs
application/vnd.publishare-delta-tree	qps
application/vnd.pvi.ptid1	ptid
application/vnd.pwg-xhtml-print+xml	xhtm xhtml
application/vnd.pyon+json	pyon
application/vnd.qualcomm.brew-app-res	bar
application/vnd.quark.quarkxpress	qwd qwt qxb qxd qxl qxt
application/vnd.quobject-quoxdocument	quiz quox
application/vnd.rainstor.data	tree
application/vnd.rar	rar
application/vnd.realvnc.bed	bed
application/vnd.recordare.musicxml	mxl
application/vnd.recordare.musicxml+xml	musicxml
application/vnd.relpipe	rp
application/vnd.resilient.logic	reload rlm
application/vnd.restful+json	json
application/vnd.rig.cryptonote	cryptonote
application/vnd.rim.cod	cod
application/vnd.rn-realmedia	rm
application/vnd.rn-realmedia-vbr	rmvb
application/vnd.route66.link66+xml	link66
application/vnd.rs-274x	gbr
application/vnd.sailingtracker.track	st
application/vnd.sar	sar
application/vnd.scribus	scd scd.gz sla sla.gz slaz
application/vnd.sealed.3df	s3df
application/vnd.sealed.csf	scsf
application/vnd.sealed.doc	s1w sdo sdoc
application/vnd.sealed.eml	sem seml
application/vnd.sealed.mht	smh smht
application/vnd.sealed.ppt	s1p spp sppt
application/vnd.sealed.tiff	stif
application/vnd.sealed.xls	s1e sxl sxls
application/vnd.sealedmedia.softseal.html	s1h stm stml
application/vnd.sealedmedia.softseal.pdf	s1a spd spdf
application/vnd.seemail	see
application/vnd.seis+json	json
application/vnd.sema	sema
application/vnd.semd	semd
application/vnd.semf	semf
application/vnd.shade-save-file	ssv
application/vnd.shana.informed.formdata	ifm
application/vnd.shana.informed.formtemplate	itp
application/vnd.shana.informed.interchange	iif
application/vnd.shana.informed.package	ipk
application/vnd.shootproof+json	json
application/vnd.shp	shp
application/vnd.shx	shx
application/vnd.sigrok.session	sr
application/vnd.simtech-mindmapper	twd twds
application/vnd.siren+json	json
application/vnd.sirtx.vmv0	vmv0
application/vnd.sketchometry	sketch sketcho
application/vnd.smaf	mmf
application/vnd.smart.notebook	notebook
application/vnd.smart.teacher	teacher
application/vnd.smintio.portals.archive	sipa
application/vnd.snesdev-page-table	pt ptrom
application/vnd.software602.filler.form+xml	fo
application/vnd.software602.filler.form-xml-zip	zfo
application/vnd.solent.sdkm+xml	sdkd sdkm
application/vnd.spotfire.dxp	dxp
application/vnd.spotfire.sfs	sfs
application/vnd.sqlite3	db db-shm db-wal sqlite sqlite-shm sqlite-wal sqlite3
application/vnd.sss-dtf	not
application/vnd.stardivision.calc	sdc
application/vnd.stardivision.draw	sda
application/vnd.stardivision.impress	sdd
application/vnd.stardivision.math	smf
application/vnd.stardivision.writer	sdw vor
application/vnd.stardivision.writer-global	sgl
application/vnd.stepmania.package	smzip
application/vnd.stepmania.stepchart	sm
application/vnd.sun.wadl+xml	wadl
application/vnd.sun.xml.calc	sxc
application/vnd.sun.xml.calc.template	stc
application/vnd.sun.xml.draw	sxd
application/vnd.sun.xml.draw.template	std
application/vnd.sun.xml.impress	sxi
application/vnd.sun.xml.impress.template	sti
application/vnd.sun.xml.math	sxm
application/vnd.sun.xml.writer	sxw
application/vnd.sun.xml.writer.global	sxg
application/vnd.sun.xml.writer.template	stw
application/vnd.superfile.super	super
application/vnd.sus-calendar	sus susp
application/vnd.svd	svd
application/vnd.sybyl.mol2	ml2 mol2 sy2
application/vnd.sycle+xml	scl
application/vnd.syft+json	syft.json
application/vnd.symbian.install	sis sisx
application/vnd.syncml+xml	xsm
application/vnd.syncml.dm+wbxml	bdm
application/vnd.syncml.dm+xml	xdm
application/vnd.syncml.dmddf+wbxml	ddf
application/vnd.syncml.dmddf+xml	ddf
application/vnd.tableschema+json	json
application/vnd.tao.intent-module-archive	tao
application/vnd.tcpdump.pcap	cap dmp pcap
application/vnd.think-cell.ppttc+json	ppttc
application/vnd.tmd.mediaflex.api+xml	xml
application/vnd.tml	vfr viaframe
application/vnd.tmobile-livetv	tmo
application/vnd.trid.tpt	tpt
application/vnd.triscape.mxs	mxs
application/vnd.trueapp	tra
application/vnd.ubisoft.webplayer	cab
application/vnd.ufdl	ufd ufdl
application/vnd.uiq.theme	utz
application/vnd.umajin	umj
application/vnd.unity	unityweb
application/vnd.uoml+xml	uoml
application/vnd.uri-map	urim urimap
application/vnd.valve.source.material	vmt
application/vnd.vcx	vcx
application/vnd.vd-study	model-inter mxi study-inter sxi
application/vnd.vectorworks	mcd vwx
application/vnd.vel+json	json
application/vnd.veritone.aion+json	aion json vtnstd
application/vnd.veryant.thin	istc isws
application/vnd.ves.encrypted	ves
application/vnd.vidsoft.vidconference	vsc
application/vnd.visio	vsd vsdx vss vssm vssx vst vstm vstx vsw
application/vnd.visionary	vis
application/vnd.vividence.scriptfile	vsc
application/vnd.vocalshaper.vsp4	vsp4
application/vnd.vsf	vsf
application/vnd.wantverse	wv
application/vnd.wap.sic	sic
application/vnd.wap.slc	slc
application/vnd.wap.wbxml	wbxml
application/vnd.wap.wmlc	wmlc
application/vnd.wap.wmlscriptc	wmlsc
application/vnd.wasmflow.wafl	wafl
application/vnd.webturbo	wtb
application/vnd.wfa.dpp	na
application/vnd.wfa.p2p	p2p
application/vnd.wfa.wsc	wsc
application/vnd.wmc	wmc
application/vnd.wolfram.mathematica	nb
application/vnd.wolfram.mathematica.package	m
application/vnd.wolfram.player	nbp
application/vnd.wordperfect	wpd
application/vnd.wqd	wqd
application/vnd.wt.stf	stf
application/vnd.wv.csp+wbxml	wv
application/vnd.xacml+json	json
application/vnd.xara	xar
application/vnd.xarin.cpj	cpj
application/vnd.xecrets-encrypted	axx
application/vnd.xfdl	xfdl
application/vnd.xmi+xml	xmi
application/vnd.xmpie.cpkg	cpkg
application/vnd.xmpie.dpkg	dpkg
application/vnd.xmpie.plan	dpkg
application/vnd.xmpie.ppkg	ppkg
application/vnd.xmpie.xlim	xlim
application/vnd.yamaha.hv-dic	hvd
application/vnd.yamaha.hv-script	hvs
application/vnd.yamaha.hv-voice	hvp
application/vnd.yamaha.openscoreformat	osf
application/vnd.yamaha.openscoreformat.osfpvg+xml	osfpvg
application/vnd.yamaha.smaf-audio	saf
application/vnd.yamaha.smaf-phrase	spf
application/vnd.yaoweme	yme
application/vnd.yellowriver-custom-menu	cmp
application/vnd.zul	zir zirz
application/vnd.zzazz.deck+xml	zaz
application/voicexml+xml	vxml
application/voucher-cms+json	vcj
application/voucher-jws+json	vjj
application/vp	vp
application/wasm	wasm
application/watcherinfo+xml	wif xml
application/webpush-options+json	json
application/widget	wgt
application/winhlp	hlp
application/wsdl+xml	wsdl
application/wspolicy+xml	wspolicy
application/x-7z-compressed	7z
application/x-abiword	abw abw.gz zabw
application/x-ace-compressed	ace
application/x-apple-diskimage	dmg
application/x-authorware-bin	aab u32 vox x32
application/x-authorware-map	aam
application/x-authorware-seg	aas
application/x-bcpio	bcpio
application/x-bittorrent	torrent
application/x-blorb	blb blorb
application/x-bzip	bz
application/x-bzip2	boz bz2
application/x-cbr	cb7 cba cbr cbt cbz
application/x-cdlink	vcd
application/x-cfs-compressed	cfs
application/x-chat	chat
application/x-chess-pgn	pgn
application/x-conference	nsc
application/x-cpio	cpio
application/x-csh	csh
application/x-debian-package	deb udeb
application/x-dgc-compressed	dgc
application/x-director	cct cst cxt dcr dir dxr fgd swa w3d
application/x-doom	wad
application/x-dtbncx+xml	ncx
application/x-dtbook+xml	dtb
application/x-dtbresource+xml	res
application/x-dvi	dvi
application/x-envoy	evy
application/x-eva	eva
application/x-font-bdf	bdf
application/x-font-ghostscript	gsf
application/x-font-linux-psf	psf
application/x-font-otf	otf
application/x-font-pcf	pcf
application/x-font-snf	snf
application/x-font-ttf	ttc ttf
application/x-font-type1	afm pfa pfb pfm
application/x-freearc	arc
application/x-futuresplash	spl
application/x-gca-compressed	gca
application/x-glulx	ulx
application/x-gnumeric	gnumeric
application/x-gramps-xml	gramps
application/x-gtar	gtar
application/x-gzip	gz tgz
application/x-hdf	hdf
application/x-install-instructions	install
application/x-iso9660-image	cdr iso isoimg
application/x-java-jnlp-file	jnlp
application/x-killustrator	kil
application/x-krita	kra krz
application/x-latex	latex
application/x-lzh-compressed	lha lzh
application/x-mie	mie
application/x-mobipocket-ebook	mobi prc
application/x-ms-application	application
application/x-ms-shortcut	lnk
application/x-ms-wmd	wmd
application/x-ms-wmz	wmz
application/x-ms-xbap	xbap
application/x-msaccess	mdb
application/x-msbinder	obd
application/x-mscardfile	crd
application/x-msclip	clp
application/x-msdownload	bat com dll exe msi
application/x-msmediaview	m13 m14 mvb
application/x-msmetafile	wmf
application/x-msmoney	mny
application/x-mspublisher	pub
application/x-msschedule	scd
application/x-msterminal	trm
application/x-mswrite	wri
application/x-netcdf	cdf nc
application/x-nzb	nzb
application/x-perl	pl pm
application/x-pkcs12	p12 pfx
application/x-pkcs7-certificates	p7b spc
application/x-pkcs7-certreqresp	p7r
application/x-rar-compressed	rar
application/x-redhat-package-manager	rpa
application/x-research-info-systems	ris
application/x-rpm	rpm
application/x-sh	sh
application/x-shar	shar
application/x-shellscript	sh
application/x-shockwave-flash	swf
application/x-silverlight-app	xap
application/x-sql	sql
application/x-stuffit	sit
application/x-stuffitx	sitx
application/x-subrip	srt
application/x-sv4cpio	sv4cpio
application/x-sv4crc	sv4crc
application/x-t3vm-image	t3
application/x-tads	gam
application/x-tar	tar
application/x-tcl	tcl
application/x-tex	tex
application/x-tex-tfm	tfm
application/x-texinfo	texi texinfo
application/x-tgif	obj
